artistName,Genre,showDate,HolidayStatus,venue name,venue city,venue state,venue country,venue postalCode,merch category,productType,product size,attendance,product price,temperature_daily_mean,rain,snowfall,spotifyMonthlyListeners,Instagram,venue capacity,spotifyMissing
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,"LIGHT DENIM, BANNER PATCH JACKET",Jacket,M,720,150.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,"LIGHT DENIM, BANNER PATCH JACKET",Jacket,L,720,150.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,"LIGHT DENIM, BANNER PATCH JACKET",Jacket,XL,720,150.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,"LIGHT DENIM, BANNER PATCH JACKET",Jacket,2XL,720,150.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Distressed Logo Tote,Bag,nan,720,30.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Jazzy Balloon Magnet,Magnet,nan,720,10.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,50th Anniversary Tour Date T-Shirt 2025,T-Shirt,S,720,20.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,50th Anniversary Tour Date T-Shirt 2025,T-Shirt,M,720,20.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,50th Anniversary Tour Date T-Shirt 2025,T-Shirt,L,720,20.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,50th Anniversary Tour Date T-Shirt 2025,T-Shirt,XL,720,20.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,50th Anniversary Tour Date T-Shirt 2025,T-Shirt,2XL,720,20.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,50th Anniversary Tour Date T-Shirt 2025,T-Shirt,3XL,720,20.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,White Logo Tee,T-Shirt,S,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,White Logo Tee,T-Shirt,M,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,White Logo Tee,T-Shirt,L,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,White Logo Tee,T-Shirt,XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,White Logo Tee,T-Shirt,2XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,White Logo Tee,T-Shirt,3XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Kangaroo Hoodie 2023,Pullover Hoodie,S,720,,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Kangaroo Hoodie 2023,Pullover Hoodie,M,720,,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Kangaroo Hoodie 2023,Pullover Hoodie,L,720,,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Kangaroo Hoodie 2023,Pullover Hoodie,XL,720,,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Kangaroo Hoodie 2023,Pullover Hoodie,2XL,720,,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Kangaroo Hoodie 2023,Pullover Hoodie,3XL,720,,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Kangaroo Hoodie 2023,Pullover Hoodie,4XL,720,,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Retro Grey T-Shirt,T-Shirt,S,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Retro Grey T-Shirt,T-Shirt,M,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Retro Grey T-Shirt,T-Shirt,L,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Retro Grey T-Shirt,T-Shirt,XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Retro Grey T-Shirt,T-Shirt,2XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,2024 Tour Koala T-Shirt,T-Shirt,S,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,2024 Tour Koala T-Shirt,T-Shirt,M,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,2024 Tour Koala T-Shirt,T-Shirt,L,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,2024 Tour Koala T-Shirt,T-Shirt,XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
